|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|DATA_TYPE
0|Production|Product|ProductID|1|int
1|Production|Product|Name|2|nvarchar
2|Production|Product|ProductNumber|3|nvarchar
3|Production|Product|MakeFlag|4|bit
4|Production|Product|FinishedGoodsFlag|5|bit
5|Production|Product|Color|6|nvarchar
6|Production|Product|SafetyStockLevel|7|smallint
7|Production|Product|ReorderPoint|8|smallint
8|Production|Product|StandardCost|9|money
9|Production|Product|ListPrice|10|money
10|Production|Product|Size|11|nvarchar
11|Production|Product|SizeUnitMeasureCode|12|nchar
12|Production|Product|WeightUnitMeasureCode|13|nchar
13|Production|Product|Weight|14|decimal
14|Production|Product|DaysToManufacture|15|int
15|Production|Product|ProductLine|16|nchar
16|Production|Product|Class|17|nchar
17|Production|Product|Style|18|nchar
18|Production|Product|ProductSubcategoryID|19|int
19|Production|Product|ProductModelID|20|int
20|Production|Product|SellStartDate|21|datetime
21|Production|Product|SellEndDate|22|datetime
22|Production|Product|DiscontinuedDate|23|datetime
23|Production|Product|rowguid|24|uniqueidentifier
24|Production|Product|ModifiedDate|25|datetime
25|Sales|SalesTerritoryHistory|BusinessEntityID|1|int
26|Sales|SalesTerritoryHistory|TerritoryID|2|int
27|Sales|SalesTerritoryHistory|StartDate|3|datetime
28|Sales|SalesTerritoryHistory|EndDate|4|datetime
29|Sales|SalesTerritoryHistory|rowguid|5|uniqueidentifier
30|Sales|SalesTerritoryHistory|ModifiedDate|6|datetime
31|Production|ScrapReason|ScrapReasonID|1|smallint
32|Production|ScrapReason|Name|2|nvarchar
33|Production|ScrapReason|ModifiedDate|3|datetime
34|Production|ProductCategory|ProductCategoryID|1|int
35|Production|ProductCategory|Name|2|nvarchar
36|Production|ProductCategory|rowguid|3|uniqueidentifier
37|Production|ProductCategory|ModifiedDate|4|datetime
38|Purchasing|ShipMethod|ShipMethodID|1|int
39|Purchasing|ShipMethod|Name|2|nvarchar
40|Purchasing|ShipMethod|ShipBase|3|money
41|Purchasing|ShipMethod|ShipRate|4|money
42|Purchasing|ShipMethod|rowguid|5|uniqueidentifier
43|Purchasing|ShipMethod|ModifiedDate|6|datetime
44|Production|ProductCostHistory|ProductID|1|int
45|Production|ProductCostHistory|StartDate|2|datetime
46|Production|ProductCostHistory|EndDate|3|datetime
47|Production|ProductCostHistory|StandardCost|4|money
48|Production|ProductCostHistory|ModifiedDate|5|datetime
49|Production|ProductDescription|ProductDescriptionID|1|int
50|Production|ProductDescription|Description|2|nvarchar
51|Production|ProductDescription|rowguid|3|uniqueidentifier
52|Production|ProductDescription|ModifiedDate|4|datetime
53|Sales|ShoppingCartItem|ShoppingCartItemID|1|int
54|Sales|ShoppingCartItem|ShoppingCartID|2|nvarchar
55|Sales|ShoppingCartItem|Quantity|3|int
56|Sales|ShoppingCartItem|ProductID|4|int
57|Sales|ShoppingCartItem|DateCreated|5|datetime
58|Sales|ShoppingCartItem|ModifiedDate|6|datetime
59|Production|ProductDocument|ProductID|1|int
60|Production|ProductDocument|DocumentNode|2|hierarchyid
61|Production|ProductDocument|ModifiedDate|3|datetime
62|Production|ProductInventory|ProductID|1|int
63|Production|ProductInventory|LocationID|2|smallint
64|Production|ProductInventory|Shelf|3|nvarchar
65|Production|ProductInventory|Bin|4|tinyint
66|Production|ProductInventory|Quantity|5|smallint
67|Production|ProductInventory|rowguid|6|uniqueidentifier
68|Production|ProductInventory|ModifiedDate|7|datetime
69|Sales|SpecialOffer|SpecialOfferID|1|int
70|Sales|SpecialOffer|Description|2|nvarchar
71|Sales|SpecialOffer|DiscountPct|3|smallmoney
72|Sales|SpecialOffer|Type|4|nvarchar
73|Sales|SpecialOffer|Category|5|nvarchar
74|Sales|SpecialOffer|StartDate|6|datetime
75|Sales|SpecialOffer|EndDate|7|datetime
76|Sales|SpecialOffer|MinQty|8|int
77|Sales|SpecialOffer|MaxQty|9|int
78|Sales|SpecialOffer|rowguid|10|uniqueidentifier
79|Sales|SpecialOffer|ModifiedDate|11|datetime
80|Production|ProductListPriceHistory|ProductID|1|int
81|Production|ProductListPriceHistory|StartDate|2|datetime
82|Production|ProductListPriceHistory|EndDate|3|datetime
83|Production|ProductListPriceHistory|ListPrice|4|money
84|Production|ProductListPriceHistory|ModifiedDate|5|datetime
85|Sales|SpecialOfferProduct|SpecialOfferID|1|int
86|Sales|SpecialOfferProduct|ProductID|2|int
87|Sales|SpecialOfferProduct|rowguid|3|uniqueidentifier
88|Sales|SpecialOfferProduct|ModifiedDate|4|datetime
89|Production|ProductModel|ProductModelID|1|int
90|Production|ProductModel|Name|2|nvarchar
91|Production|ProductModel|CatalogDescription|3|xml
92|Production|ProductModel|Instructions|4|xml
93|Production|ProductModel|rowguid|5|uniqueidentifier
94|Production|ProductModel|ModifiedDate|6|datetime
95|Person|AddressType|AddressTypeID|1|int
96|Person|AddressType|Name|2|nvarchar
97|Person|AddressType|rowguid|3|uniqueidentifier
98|Person|AddressType|ModifiedDate|4|datetime
99|Person|StateProvince|StateProvinceID|1|int
100|Person|StateProvince|StateProvinceCode|2|nchar
101|Person|StateProvince|CountryRegionCode|3|nvarchar
102|Person|StateProvince|IsOnlyStateProvinceFlag|4|bit
103|Person|StateProvince|Name|5|nvarchar
104|Person|StateProvince|TerritoryID|6|int
105|Person|StateProvince|rowguid|7|uniqueidentifier
106|Person|StateProvince|ModifiedDate|8|datetime
107|Production|ProductModelIllustration|ProductModelID|1|int
108|Production|ProductModelIllustration|IllustrationID|2|int
109|Production|ProductModelIllustration|ModifiedDate|3|datetime
110|dbo|AWBuildVersion|SystemInformationID|1|tinyint
111|dbo|AWBuildVersion|Database Version|2|nvarchar
112|dbo|AWBuildVersion|VersionDate|3|datetime
113|dbo|AWBuildVersion|ModifiedDate|4|datetime
114|Production|ProductModelProductDescriptionCulture|ProductModelID|1|int
115|Production|ProductModelProductDescriptionCulture|ProductDescriptionID|2|int
116|Production|ProductModelProductDescriptionCulture|CultureID|3|nchar
117|Production|ProductModelProductDescriptionCulture|ModifiedDate|4|datetime
118|Production|BillOfMaterials|BillOfMaterialsID|1|int
119|Production|BillOfMaterials|ProductAssemblyID|2|int
120|Production|BillOfMaterials|ComponentID|3|int
121|Production|BillOfMaterials|StartDate|4|datetime
122|Production|BillOfMaterials|EndDate|5|datetime
123|Production|BillOfMaterials|UnitMeasureCode|6|nchar
124|Production|BillOfMaterials|BOMLevel|7|smallint
125|Production|BillOfMaterials|PerAssemblyQty|8|decimal
126|Production|BillOfMaterials|ModifiedDate|9|datetime
127|Sales|Store|BusinessEntityID|1|int
128|Sales|Store|Name|2|nvarchar
