|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|DATA_TYPE
0|Production|Illustration|IllustrationID|1|int
1|Production|Illustration|Diagram|2|xml
2|Production|Illustration|ModifiedDate|3|datetime
3|HumanResources|JobCandidate|JobCandidateID|1|int
4|HumanResources|JobCandidate|BusinessEntityID|2|int
5|HumanResources|JobCandidate|Resume|3|xml
6|HumanResources|JobCandidate|ModifiedDate|4|datetime
7|Production|Location|LocationID|1|smallint
8|Production|Location|Name|2|nvarchar
9|Production|Location|CostRate|3|smallmoney
10|Production|Location|Availability|4|decimal
11|Production|Location|ModifiedDate|5|datetime
12|Production|Product|ProductID|1|int
13|Production|Product|Name|2|nvarchar
14|Production|Product|ProductNumber|3|nvarchar
15|Production|Product|MakeFlag|4|bit
16|Production|Product|FinishedGoodsFlag|5|bit
17|Production|Product|Color|6|nvarchar
18|Production|Product|SafetyStockLevel|7|smallint
19|Production|Product|ReorderPoint|8|smallint
20|Production|Product|StandardCost|9|money
21|Production|Product|ListPrice|10|money
22|Production|Product|Size|11|nvarchar
23|Production|Product|SizeUnitMeasureCode|12|nchar
24|Production|Product|WeightUnitMeasureCode|13|nchar
25|Production|Product|Weight|14|decimal
26|Production|Product|DaysToManufacture|15|int
27|Production|Product|ProductLine|16|nchar
28|Production|Product|Class|17|nchar
29|Production|Product|Style|18|nchar
30|Production|Product|ProductSubcategoryID|19|int
31|Production|Product|ProductModelID|20|int
32|Production|Product|SellStartDate|21|datetime
33|Production|Product|SellEndDate|22|datetime
34|Production|Product|DiscontinuedDate|23|datetime
35|Production|Product|rowguid|24|uniqueidentifier
36|Production|Product|ModifiedDate|25|datetime
37|Sales|vPersonDemographics|BusinessEntityID|1|int
38|Sales|vPersonDemographics|TotalPurchaseYTD|2|money
39|Sales|vPersonDemographics|DateFirstPurchase|3|datetime
40|Sales|vPersonDemographics|BirthDate|4|datetime
41|Sales|vPersonDemographics|MaritalStatus|5|nvarchar
42|Sales|vPersonDemographics|YearlyIncome|6|nvarchar
43|Sales|vPersonDemographics|Gender|7|nvarchar
44|Sales|vPersonDemographics|TotalChildren|8|int
45|Sales|vPersonDemographics|NumberChildrenAtHome|9|int
46|Sales|vPersonDemographics|Education|10|nvarchar
47|Sales|vPersonDemographics|Occupation|11|nvarchar
48|Sales|vPersonDemographics|HomeOwnerFlag|12|bit
49|Sales|vPersonDemographics|NumberCarsOwned|13|int
50|HumanResources|vJobCandidate|JobCandidateID|1|int
51|HumanResources|vJobCandidate|BusinessEntityID|2|int
52|HumanResources|vJobCandidate|Name.Prefix|3|nvarchar
53|HumanResources|vJobCandidate|Name.First|4|nvarchar
54|HumanResources|vJobCandidate|Name.Middle|5|nvarchar
55|HumanResources|vJobCandidate|Name.Last|6|nvarchar
56|HumanResources|vJobCandidate|Name.Suffix|7|nvarchar
57|HumanResources|vJobCandidate|Skills|8|nvarchar
58|HumanResources|vJobCandidate|Addr.Type|9|nvarchar
59|HumanResources|vJobCandidate|Addr.Loc.CountryRegion|10|nvarchar
60|HumanResources|vJobCandidate|Addr.Loc.State|11|nvarchar
61|HumanResources|vJobCandidate|Addr.Loc.City|12|nvarchar
62|HumanResources|vJobCandidate|Addr.PostalCode|13|nvarchar
63|HumanResources|vJobCandidate|EMail|14|nvarchar
64|HumanResources|vJobCandidate|WebSite|15|nvarchar
65|HumanResources|vJobCandidate|ModifiedDate|16|datetime
66|HumanResources|vJobCandidateEmployment|JobCandidateID|1|int
67|HumanResources|vJobCandidateEmployment|Emp.StartDate|2|datetime
68|HumanResources|vJobCandidateEmployment|Emp.EndDate|3|datetime
