|CONSTRAINT_SCHEMA|CONSTRAINT_NAME|TABLE_SCHEMA|TABLE_NAME|CONSTRAINT_TYPE
0|Production|CK_Product_ProductLine|Production|Product|CHECK
1|Production|CK_Product_Class|Production|Product|CHECK
2|Production|CK_Product_Style|Production|Product|CHECK
3|Production|CK_Product_SellEndDate|Production|Product|CHECK
4|Production|CK_ProductCostHistory_EndDate|Production|ProductCostHistory|CHECK
5|Purchasing|CK_ShipMethod_ShipBase|Purchasing|ShipMethod|CHECK
6|Production|CK_ProductCostHistory_StandardCost|Production|ProductCostHistory|CHECK
7|Purchasing|CK_ShipMethod_ShipRate|Purchasing|ShipMethod|CHECK
8|Sales|CK_ShoppingCartItem_Quantity|Sales|ShoppingCartItem|CHECK
9|Person|FK_Address_StateProvince_StateProvinceID|Person|Address|FOREIGN KEY
10|dbo|PK_ErrorLog_ErrorLogID|dbo|ErrorLog|PRIMARY KEY
11|Production|FK_BillOfMaterials_Product_ProductAssemblyID|Production|BillOfMaterials|FOREIGN KEY
12|Production|CK_ProductInventory_Shelf|Production|ProductInventory|CHECK
13|Production|FK_BillOfMaterials_Product_ComponentID|Production|BillOfMaterials|FOREIGN KEY
14|Production|CK_ProductInventory_Bin|Production|ProductInventory|CHECK
15|Production|FK_BillOfMaterials_UnitMeasure_UnitMeasureCode|Production|BillOfMaterials|FOREIGN KEY
16|Sales|CK_SpecialOffer_EndDate|Sales|SpecialOffer|CHECK
17|Person|FK_BusinessEntityAddress_Address_AddressID|Person|BusinessEntityAddress|FOREIGN KEY
18|Sales|CK_SpecialOffer_DiscountPct|Sales|SpecialOffer|CHECK
19|Person|FK_BusinessEntityAddress_AddressType_AddressTypeID|Person|BusinessEntityAddress|FOREIGN KEY
20|Sales|CK_SpecialOffer_MinQty|Sales|SpecialOffer|CHECK
21|Production|CK_ProductListPriceHistory_EndDate|Production|ProductListPriceHistory|CHECK
22|Person|FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID|Person|BusinessEntityAddress|FOREIGN KEY
23|Sales|CK_SpecialOffer_MaxQty|Sales|SpecialOffer|CHECK
24|Production|CK_ProductListPriceHistory_ListPrice|Production|ProductListPriceHistory|CHECK
25|Person|FK_BusinessEntityContact_Person_PersonID|Person|BusinessEntityContact|FOREIGN KEY
26|Person|FK_BusinessEntityContact_ContactType_ContactTypeID|Person|BusinessEntityContact|FOREIGN KEY
27|Person|FK_BusinessEntityContact_BusinessEntity_BusinessEntityID|Person|BusinessEntityContact|FOREIGN KEY
28|Sales|FK_CountryRegionCurrency_CountryRegion_CountryRegionCode|Sales|CountryRegionCurrency|FOREIGN KEY
29|Sales|FK_CountryRegionCurrency_Currency_CurrencyCode|Sales|CountryRegionCurrency|FOREIGN KEY
30|Sales|FK_CurrencyRate_Currency_FromCurrencyCode|Sales|CurrencyRate|FOREIGN KEY
31|Sales|FK_CurrencyRate_Currency_ToCurrencyCode|Sales|CurrencyRate|FOREIGN KEY
32|Sales|FK_Customer_Person_PersonID|Sales|Customer|FOREIGN KEY
33|Sales|FK_Customer_Store_StoreID|Sales|Customer|FOREIGN KEY
34|Sales|FK_Customer_SalesTerritory_TerritoryID|Sales|Customer|FOREIGN KEY
35|Production|CK_BillOfMaterials_EndDate|Production|BillOfMaterials|CHECK
36|Production|FK_Document_Employee_Owner|Production|Document|FOREIGN KEY
37|Production|CK_BillOfMaterials_ProductAssemblyID|Production|BillOfMaterials|CHECK
38|Person|FK_EmailAddress_Person_BusinessEntityID|Person|EmailAddress|FOREIGN KEY
39|Production|CK_BillOfMaterials_BOMLevel|Production|BillOfMaterials|CHECK
40|HumanResources|FK_Employee_Person_BusinessEntityID|HumanResources|Employee|FOREIGN KEY
41|Production|CK_BillOfMaterials_PerAssemblyQty|Production|BillOfMaterials|CHECK
42|HumanResources|FK_EmployeeDepartmentHistory_Department_DepartmentID|HumanResources|EmployeeDepartmentHistory|FOREIGN KEY
43|HumanResources|FK_EmployeeDepartmentHistory_Employee_BusinessEntityID|HumanResources|EmployeeDepartmentHistory|FOREIGN KEY
44|Production|CK_TransactionHistory_TransactionType|Production|TransactionHistory|CHECK
45|HumanResources|FK_EmployeeDepartmentHistory_Shift_ShiftID|HumanResources|EmployeeDepartmentHistory|FOREIGN KEY
46|Production|CK_ProductReview_Rating|Production|ProductReview|CHECK
47|HumanResources|FK_EmployeePayHistory_Employee_BusinessEntityID|HumanResources|EmployeePayHistory|FOREIGN KEY
48|HumanResources|FK_JobCandidate_Employee_BusinessEntityID|HumanResources|JobCandidate|FOREIGN KEY
49|Person|FK_Password_Person_BusinessEntityID|Person|Password|FOREIGN KEY
50|Person|FK_Person_BusinessEntity_BusinessEntityID|Person|Person|FOREIGN KEY
51|Production|CK_TransactionHistoryArchive_TransactionType|Production|TransactionHistoryArchive|CHECK
52|Sales|FK_PersonCreditCard_Person_BusinessEntityID|Sales|PersonCreditCard|FOREIGN KEY
