|VIEW_SCHEMA|VIEW_NAME|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME
0|Sales|vStoreWithAddresses|Person|Address|AddressLine2
1|Purchasing|vVendorWithAddresses|Person|Address|AddressLine2
2|HumanResources|vEmployee|Person|Address|AddressLine2
3|Sales|vIndividualCustomer|Person|Address|AddressLine2
4|Sales|vSalesPerson|Person|Address|AddressLine2
5|Sales|vStoreWithAddresses|Person|Address|City
6|Purchasing|vVendorWithAddresses|Person|Address|City
7|HumanResources|vEmployee|Person|Address|City
8|Sales|vIndividualCustomer|Person|Address|City
9|Sales|vSalesPerson|Person|Address|City
10|Sales|vStoreWithAddresses|Person|Address|StateProvinceID
11|Purchasing|vVendorWithAddresses|Person|Address|StateProvinceID
12|HumanResources|vEmployee|Person|Address|StateProvinceID
13|Sales|vIndividualCustomer|Person|Address|StateProvinceID
14|Sales|vSalesPerson|Person|Address|StateProvinceID
15|Sales|vStoreWithAddresses|Person|Address|PostalCode
16|Purchasing|vVendorWithAddresses|Person|Address|PostalCode
17|HumanResources|vEmployee|Person|Address|PostalCode
18|Sales|vIndividualCustomer|Person|Address|PostalCode
19|Sales|vSalesPerson|Person|Address|PostalCode
20|Production|vProductModelCatalogDescription|Production|ProductModel|ProductModelID
21|Production|vProductModelInstructions|Production|ProductModel|ProductModelID
22|Production|vProductModelCatalogDescription|Production|ProductModel|Name
23|Production|vProductModelInstructions|Production|ProductModel|Name
24|Production|vProductModelCatalogDescription|Production|ProductModel|CatalogDescription
25|Production|vProductModelInstructions|Production|ProductModel|Instructions
26|Production|vProductModelCatalogDescription|Production|ProductModel|rowguid
27|Production|vProductModelInstructions|Production|ProductModel|rowguid
28|Production|vProductModelCatalogDescription|Production|ProductModel|ModifiedDate
29|Production|vProductModelInstructions|Production|ProductModel|ModifiedDate
30|Production|vProductAndDescription|Production|ProductModel|ProductModelID
31|Production|vProductAndDescription|Production|ProductModel|Name
32|Sales|vSalesPerson|Person|Address|AddressLine1
33|Sales|vIndividualCustomer|Person|Address|AddressLine1
34|HumanResources|vEmployee|Person|Address|AddressLine1
35|Purchasing|vVendorWithAddresses|Person|Address|AddressLine1
36|Sales|vStoreWithAddresses|Person|Address|AddressLine1
37|Sales|vSalesPerson|Person|Address|AddressID
38|Sales|vIndividualCustomer|Person|Address|AddressID
39|HumanResources|vEmployee|Person|Address|AddressID
40|Purchasing|vVendorWithAddresses|Person|Address|AddressID
41|Sales|vStoreWithAddresses|Person|Address|AddressID
42|Production|vProductAndDescription|Production|ProductDescription|Description
43|Production|vProductAndDescription|Production|ProductDescription|ProductDescriptionID
44|HumanResources|vEmployeeDepartmentHistory|HumanResources|Shift|Name
45|HumanResources|vEmployeeDepartmentHistory|HumanResources|Shift|ShiftID
46|Sales|vStoreWithAddresses|Person|AddressType|AddressTypeID
47|Purchasing|vVendorWithAddresses|Person|AddressType|AddressTypeID
48|Sales|vIndividualCustomer|Person|AddressType|AddressTypeID
49|Sales|vStoreWithAddresses|Person|AddressType|Name
50|Purchasing|vVendorWithAddresses|Person|AddressType|Name
51|Sales|vIndividualCustomer|Person|AddressType|Name
52|Sales|vStoreWithAddresses|Person|StateProvince|StateProvinceID
53|Purchasing|vVendorWithAddresses|Person|StateProvince|StateProvinceID
54|HumanResources|vEmployee|Person|StateProvince|StateProvinceID
55|Sales|vIndividualCustomer|Person|StateProvince|StateProvinceID
56|Sales|vSalesPerson|Person|StateProvince|StateProvinceID
57|Sales|vStoreWithAddresses|Person|StateProvince|CountryRegionCode
58|Purchasing|vVendorWithAddresses|Person|StateProvince|CountryRegionCode
59|HumanResources|vEmployee|Person|StateProvince|CountryRegionCode
60|Sales|vIndividualCustomer|Person|StateProvince|CountryRegionCode
61|Sales|vSalesPerson|Person|StateProvince|CountryRegionCode
62|Sales|vStoreWithAddresses|Person|StateProvince|Name
63|Purchasing|vVendorWithAddresses|Person|StateProvince|Name
64|HumanResources|vEmployee|Person|StateProvince|Name
65|Sales|vIndividualCustomer|Person|StateProvince|Name
66|Sales|vSalesPerson|Person|StateProvince|Name
67|Person|vStateProvinceCountryRegion|Person|StateProvince|StateProvinceID
68|Person|vStateProvinceCountryRegion|Person|StateProvince|StateProvinceCode
69|Person|vStateProvinceCountryRegion|Person|StateProvince|CountryRegionCode
70|Person|vStateProvinceCountryRegion|Person|StateProvince|IsOnlyStateProvinceFlag
71|Person|vStateProvinceCountryRegion|Person|StateProvince|Name
72|Person|vStateProvinceCountryRegion|Person|StateProvince|TerritoryID
73|Production|vProductAndDescription|Production|ProductModelProductDescriptionCulture|ProductModelID
74|Production|vProductAndDescription|Production|ProductModelProductDescriptionCulture|ProductDescriptionID
75|Production|vProductAndDescription|Production|ProductModelProductDescriptionCulture|CultureID
76|Sales|vStoreWithContacts|Sales|Store|BusinessEntityID
77|Sales|vStoreWithAddresses|Sales|Store|BusinessEntityID
78|Sales|vStoreWithDemographics|Sales|Store|BusinessEntityID
79|Sales|vStoreWithContacts|Sales|Store|Name
80|Sales|vStoreWithAddresses|Sales|Store|Name
81|Sales|vStoreWithDemographics|Sales|Store|Name
82|Sales|vStoreWithDemographics|Sales|Store|Demographics
83|Sales|vStoreWithAddresses|Person|BusinessEntityAddress|BusinessEntityID
84|Purchasing|vVendorWithAddresses|Person|BusinessEntityAddress|BusinessEntityID
85|HumanResources|vEmployee|Person|BusinessEntityAddress|BusinessEntityID
86|Sales|vIndividualCustomer|Person|BusinessEntityAddress|BusinessEntityID
87|Sales|vSalesPerson|Person|BusinessEntityAddress|BusinessEntityID
88|Sales|vStoreWithAddresses|Person|BusinessEntityAddress|AddressID
89|Purchasing|vVendorWithAddresses|Person|BusinessEntityAddress|AddressID
90|HumanResources|vEmployee|Person|BusinessEntityAddress|AddressID
91|Sales|vIndividualCustomer|Person|BusinessEntityAddress|AddressID
92|Sales|vSalesPerson|Person|BusinessEntityAddress|AddressID
93|Sales|vStoreWithAddresses|Person|BusinessEntityAddress|AddressTypeID
94|Purchasing|vVendorWithAddresses|Person|BusinessEntityAddress|AddressTypeID
95|Sales|vIndividualCustomer|Person|BusinessEntityAddress|AddressTypeID
96|Sales|vStoreWithContacts|Person|BusinessEntityContact|BusinessEntityID
97|Purchasing|vVendorWithContacts|Person|BusinessEntityContact|BusinessEntityID
98|Sales|vStoreWithContacts|Person|BusinessEntityContact|PersonID
99|Purchasing|vVendorWithContacts|Person|BusinessEntityContact|PersonID
100|Sales|vStoreWithContacts|Person|BusinessEntityContact|ContactTypeID
101|Purchasing|vVendorWithContacts|Person|BusinessEntityContact|ContactTypeID
102|Purchasing|vVendorWithContacts|Purchasing|Vendor|BusinessEntityID
103|Purchasing|vVendorWithAddresses|Purchasing|Vendor|BusinessEntityID
104|Purchasing|vVendorWithContacts|Purchasing|Vendor|Name
105|Purchasing|vVendorWithAddresses|Purchasing|Vendor|Name
106|Sales|vStoreWithContacts|Person|ContactType|ContactTypeID
107|Purchasing|vVendorWithContacts|Person|ContactType|ContactTypeID
