|TABLE_SCHEMA|TABLE_NAME
0|Sales|SalesTaxRate
1|Sales|PersonCreditCard
2|Person|PersonPhone
3|Sales|SalesTerritory
4|Person|PhoneNumberType
5|Production|Product
6|Sales|SalesTerritoryHistory
7|Production|ScrapReason
8|HumanResources|Shift
9|Production|ProductCategory
10|Purchasing|ShipMethod
11|Production|ProductCostHistory
12|Production|ProductDescription
13|Sales|ShoppingCartItem
14|Production|ProductDocument
15|dbo|DatabaseLog
16|Production|ProductInventory
17|Sales|SpecialOffer
18|dbo|ErrorLog
19|Production|ProductListPriceHistory
20|Person|Address
21|Sales|SpecialOfferProduct
22|Production|ProductModel
23|Person|AddressType
24|Person|StateProvince
25|Production|ProductModelIllustration
26|dbo|AWBuildVersion
27|Production|ProductModelProductDescriptionCulture
28|Production|BillOfMaterials
29|Sales|Store
30|Production|ProductPhoto
31|Production|ProductProductPhoto
32|Production|TransactionHistory
33|Production|ProductReview
34|Person|BusinessEntity
35|Production|TransactionHistoryArchive
36|Production|ProductSubcategory
37|Person|BusinessEntityAddress
38|Purchasing|ProductVendor
39|Person|BusinessEntityContact
40|Production|UnitMeasure
41|Purchasing|Vendor
42|Person|ContactType
43|Sales|CountryRegionCurrency
44|Person|CountryRegion
45|Production|WorkOrder
46|Purchasing|PurchaseOrderDetail
47|Sales|CreditCard
48|Production|Culture
49|Production|WorkOrderRouting
50|Sales|Currency
51|Purchasing|PurchaseOrderHeader
52|Sales|CurrencyRate
53|Sales|Customer
54|HumanResources|Department
55|Production|Document
56|Sales|SalesOrderDetail
57|Person|EmailAddress
58|HumanResources|Employee
59|Sales|SalesOrderHeader
60|HumanResources|EmployeeDepartmentHistory
61|HumanResources|EmployeePayHistory
62|Sales|SalesOrderHeaderSalesReason
63|Sales|SalesPerson
64|Production|Illustration
65|HumanResources|JobCandidate
66|Production|Location
67|Person|Password
68|Sales|SalesPersonQuotaHistory
69|Person|Person
70|Sales|SalesReason
