|VIEW_SCHEMA|VIEW_NAME|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME
0|HumanResources|vEmployee|Person|Address|StateProvinceID
1|HumanResources|vEmployee|Person|Address|PostalCode
2|HumanResources|vEmployee|Person|Address|City
3|HumanResources|vEmployee|Person|Address|AddressLine2
4|HumanResources|vEmployee|Person|Address|AddressLine1
5|HumanResources|vEmployee|Person|Address|AddressID
6|HumanResources|vEmployee|Person|PhoneNumberType|Name
7|HumanResources|vEmployee|Person|PhoneNumberType|PhoneNumberTypeID
8|HumanResources|vEmployee|Person|PersonPhone|PhoneNumberTypeID
9|HumanResources|vEmployee|Person|PersonPhone|PhoneNumber
10|HumanResources|vEmployee|Person|PersonPhone|BusinessEntityID
11|HumanResources|vEmployee|Person|Person|AdditionalContactInfo
12|HumanResources|vEmployee|Person|Person|EmailPromotion
13|HumanResources|vEmployeeDepartment|Person|Person|BusinessEntityID
14|HumanResources|vEmployeeDepartment|Person|Person|Title
15|HumanResources|vEmployeeDepartment|Person|Person|FirstName
16|HumanResources|vEmployeeDepartment|Person|Person|MiddleName
17|HumanResources|vEmployeeDepartment|Person|Person|LastName
18|HumanResources|vEmployeeDepartment|Person|Person|Suffix
19|HumanResources|vEmployee|Person|Person|Suffix
20|HumanResources|vEmployee|Person|Person|LastName
21|HumanResources|vEmployee|Person|Person|MiddleName
22|HumanResources|vEmployee|Person|Person|FirstName
23|HumanResources|vEmployee|Person|Person|Title
24|HumanResources|vEmployee|Person|Person|BusinessEntityID
25|Person|vAdditionalContactInfo|Person|Person|ModifiedDate
26|Person|vAdditionalContactInfo|Person|Person|rowguid
27|Person|vAdditionalContactInfo|Person|Person|AdditionalContactInfo
28|HumanResources|vEmployeeDepartmentHistory|Person|Person|BusinessEntityID
29|HumanResources|vEmployeeDepartmentHistory|Person|Person|Title
30|HumanResources|vEmployeeDepartmentHistory|Person|Person|FirstName
31|HumanResources|vEmployeeDepartmentHistory|Person|Person|MiddleName
32|HumanResources|vEmployeeDepartmentHistory|Person|Person|LastName
33|HumanResources|vEmployeeDepartmentHistory|Person|Person|Suffix
34|Person|vAdditionalContactInfo|Person|Person|LastName
35|Person|vAdditionalContactInfo|Person|Person|MiddleName
36|Person|vAdditionalContactInfo|Person|Person|FirstName
37|Person|vAdditionalContactInfo|Person|Person|BusinessEntityID
38|HumanResources|vEmployee|Person|StateProvince|StateProvinceID
39|HumanResources|vEmployeeDepartmentHistory|HumanResources|Employee|BusinessEntityID
40|HumanResources|vEmployeeDepartmentHistory|HumanResources|EmployeeDepartmentHistory|BusinessEntityID
41|HumanResources|vEmployeeDepartmentHistory|HumanResources|EmployeeDepartmentHistory|DepartmentID
42|HumanResources|vEmployeeDepartmentHistory|HumanResources|EmployeeDepartmentHistory|ShiftID
43|HumanResources|vEmployeeDepartmentHistory|HumanResources|EmployeeDepartmentHistory|StartDate
44|HumanResources|vEmployeeDepartmentHistory|HumanResources|EmployeeDepartmentHistory|EndDate
45|Sales|vIndividualCustomer|Person|Person|BusinessEntityID
46|Sales|vIndividualCustomer|Person|Person|Title
47|Sales|vIndividualCustomer|Person|Person|FirstName
48|Sales|vIndividualCustomer|Person|Person|MiddleName
49|Sales|vIndividualCustomer|Person|Person|LastName
50|Sales|vIndividualCustomer|Person|Person|Suffix
51|Sales|vIndividualCustomer|Person|Person|EmailPromotion
52|Sales|vIndividualCustomer|Person|Person|Demographics
53|Sales|vIndividualCustomer|Person|PersonPhone|BusinessEntityID
54|Sales|vIndividualCustomer|Person|PersonPhone|PhoneNumber
55|Sales|vIndividualCustomer|Person|PersonPhone|PhoneNumberTypeID
56|Sales|vIndividualCustomer|Person|PhoneNumberType|PhoneNumberTypeID
57|Sales|vIndividualCustomer|Person|PhoneNumberType|Name
58|Sales|vIndividualCustomer|Person|Address|AddressID
59|Sales|vIndividualCustomer|Person|Address|AddressLine1
60|Sales|vIndividualCustomer|Person|Address|AddressLine2
61|Sales|vIndividualCustomer|Person|Address|City
62|Sales|vIndividualCustomer|Person|Address|StateProvinceID
63|Sales|vIndividualCustomer|Person|Address|PostalCode
64|Sales|vIndividualCustomer|Person|AddressType|AddressTypeID
65|Sales|vIndividualCustomer|Person|AddressType|Name
66|Sales|vIndividualCustomer|Person|StateProvince|StateProvinceID
67|Sales|vIndividualCustomer|Person|StateProvince|CountryRegionCode
68|Sales|vIndividualCustomer|Person|StateProvince|Name
69|Sales|vIndividualCustomer|Person|BusinessEntityAddress|BusinessEntityID
70|Sales|vIndividualCustomer|Person|BusinessEntityAddress|AddressID
71|HumanResources|vEmployee|Person|StateProvince|CountryRegionCode
72|HumanResources|vEmployee|Person|StateProvince|Name
73|HumanResources|vEmployee|Person|BusinessEntityAddress|BusinessEntityID
74|HumanResources|vEmployee|Person|BusinessEntityAddress|AddressID
75|HumanResources|vEmployee|Person|CountryRegion|CountryRegionCode
76|HumanResources|vEmployee|Person|CountryRegion|Name
77|HumanResources|vEmployee|Person|EmailAddress|BusinessEntityID
78|HumanResources|vEmployee|Person|EmailAddress|EmailAddress
79|HumanResources|vEmployee|HumanResources|Employee|BusinessEntityID
80|HumanResources|vEmployee|HumanResources|Employee|JobTitle
81|HumanResources|vEmployeeDepartment|HumanResources|Department|DepartmentID
82|HumanResources|vEmployeeDepartment|HumanResources|Department|Name
83|HumanResources|vEmployeeDepartment|HumanResources|Department|GroupName
84|HumanResources|vEmployeeDepartment|HumanResources|Employee|BusinessEntityID
85|HumanResources|vEmployeeDepartment|HumanResources|Employee|JobTitle
86|HumanResources|vEmployeeDepartment|HumanResources|EmployeeDepartmentHistory|BusinessEntityID
87|HumanResources|vEmployeeDepartment|HumanResources|EmployeeDepartmentHistory|DepartmentID
88|HumanResources|vEmployeeDepartment|HumanResources|EmployeeDepartmentHistory|StartDate
89|HumanResources|vEmployeeDepartment|HumanResources|EmployeeDepartmentHistory|EndDate
90|HumanResources|vEmployeeDepartmentHistory|HumanResources|Shift|ShiftID
91|HumanResources|vEmployeeDepartmentHistory|HumanResources|Shift|Name
92|HumanResources|vEmployeeDepartmentHistory|HumanResources|Department|DepartmentID
93|HumanResources|vEmployeeDepartmentHistory|HumanResources|Department|Name
94|HumanResources|vEmployeeDepartmentHistory|HumanResources|Department|GroupName
95|Sales|vIndividualCustomer|Person|BusinessEntityAddress|AddressTypeID
